ad_id;Street;City_Code
705;Wilmersdorf; Berlin (10719);Wilmersdorf,  Berlin (10719);
706;Charlottenburg; Berlin (10719);Charlottenburg,  Berlin (10719);
707;Lichterfelde; Berlin (14167);Lichterfelde,  Berlin (14167);
708;Mahlsdorf; Berlin (12623);Mahlsdorf,  Berlin (12623);3.5147
709;Heiligensee; Berlin Heiligensee (13503);Heiligensee,  Berlin Heiligensee (13503);
710;Schöneberg; Berlin (12249);Schöneberg,  Berlin (12249);3.932
711;Burgerstrasse 53; Berlin (12347);Burgerstrasse 53,  Berlin (12347);3.8073
712;Charlottenburg; Berlin (10629);Charlottenburg,  Berlin (10629);
713;Mahlsdorf; Berlin (12623);Mahlsdorf,  Berlin (12623);3.5147
714;Muggelheim; Berlin-Muggelheim (12559);Muggelheim,  Berlin-Muggelheim (12559);3.4398
715;Muggelheim; Berlin-Muggelheim (12559);Muggelheim,  Berlin-Muggelheim (12559);3.4398
716;Muggelheim; Berlin-Muggelheim (12559);Muggelheim,  Berlin-Muggelheim (12559);3.4398
717;Muggelheim; Berlin-Muggelheim (12559);Muggelheim,  Berlin-Muggelheim (12559);3.4398
718;Muggelheim; Berlin-Muggelheim (12559);Muggelheim,  Berlin-Muggelheim (12559);3.4398
719;Weissensee; Berlin / Weissensee (13088);Weissensee,  Berlin / Weissensee (13088);3.825
720;Lichtenrade; Berlin (12307);Lichtenrade,  Berlin (12307);3.8959
721;Wiesbadener Strasse 56; Berlin (14197);Wiesbadener Strasse 56,  Berlin (14197);
722;Alt-Hohenschönhausen; Berlin (13053);Alt-Hohenschönhausen,  Berlin (13053);3.7249
723;Tempelhof; Berlin (12101);Tempelhof,  Berlin (12101);3.888
724;Lankwitz; Berlin (12247);Lankwitz,  Berlin (12247);
725;Köpenick; Berlin (12557);Köpenick,  Berlin (12557);3.5699
726;Bogenstrasse 21; Berlin (12207);Bogenstrasse 21,  Berlin (12207);3.2892
727;Bogenstrasse 21; Berlin (12207);Bogenstrasse 21,  Berlin (12207);3.2892
728;Frohnau; Berlin (13465);Frohnau,  Berlin (13465);
729;Blankenburg; Berlin / Pankow (13129);Blankenburg,  Berlin / Pankow (13129);3.8373
730;Rahnsdorf; Berlin / Hessenwinkel (12589);Rahnsdorf,  Berlin / Hessenwinkel (12589);3.2846
731;Konradshöhe; Berlin (13505);Konradshöhe,  Berlin (13505);
732;Lichtenberg; Berlin (10365);Lichtenberg,  Berlin (10365);3.7185
733;Lichterfelde; Berlin (12203);Lichterfelde,  Berlin (12203);
734;Birkenstrasse 12A; Berlin (10559);Birkenstrasse 12A,  Berlin (10559);
735;Hermsdorf; Berlin (13465);Hermsdorf,  Berlin (13465);
736;Lichtenrade; Berlin (12309);Lichtenrade,  Berlin (12309);3.8959
737;Westend; Berlin (14052);Westend,  Berlin (14052);
738;Boddinstrasse 20; Berlin (12053);Boddinstrasse 20,  Berlin (12053);3.8236
739;Konradshöhe; Berlin (13505);Konradshöhe,  Berlin (13505);
740;Max-Beer-Strasse 7; Berlin (10119);Max-Beer-Strasse 7,  Berlin (10119);3.8591
741;Max-Beer-Strasse 7; Berlin (10119);Max-Beer-Strasse 7,  Berlin (10119);3.8591
742;Max-Beer-Strasse 7; Berlin (10119);Max-Beer-Strasse 7,  Berlin (10119);3.8591
743;Wannsee; Berlin (14109);Wannsee,  Berlin (14109);
744;Lichterfelde; Berlin (12207);Lichterfelde,  Berlin (12207);
745;Lichterfelde; Berlin (12209);Lichterfelde,  Berlin (12209);
