ad_id;Street;City_Code
705;Wilmersdorf; Berlin (10719);Wilmersdorf,  Berlin (10719);
706;Charlottenburg; Berlin (10719);Charlottenburg,  Berlin (10719);0.29
707;Lichterfelde; Berlin (14167);Lichterfelde,  Berlin (14167);
708;Mahlsdorf; Berlin (12623);Mahlsdorf,  Berlin (12623);1.57
709;Heiligensee; Berlin Heiligensee (13503);Heiligensee,  Berlin Heiligensee (13503);1.95
710;Schöneberg; Berlin (12249);Schöneberg,  Berlin (12249);0.49
711;Burgerstrasse 53; Berlin (12347);Burgerstrasse 53,  Berlin (12347);1.76
712;Charlottenburg; Berlin (10629);Charlottenburg,  Berlin (10629);0.29
713;Mahlsdorf; Berlin (12623);Mahlsdorf,  Berlin (12623);1.57
714;Muggelheim; Berlin-Muggelheim (12559);Muggelheim,  Berlin-Muggelheim (12559);0.89
715;Muggelheim; Berlin-Muggelheim (12559);Muggelheim,  Berlin-Muggelheim (12559);0.89
716;Muggelheim; Berlin-Muggelheim (12559);Muggelheim,  Berlin-Muggelheim (12559);0.89
717;Muggelheim; Berlin-Muggelheim (12559);Muggelheim,  Berlin-Muggelheim (12559);0.89
718;Muggelheim; Berlin-Muggelheim (12559);Muggelheim,  Berlin-Muggelheim (12559);0.89
719;Weissensee; Berlin / Weissensee (13088);Weissensee,  Berlin / Weissensee (13088);0.61
720;Lichtenrade; Berlin (12307);Lichtenrade,  Berlin (12307);0.82
721;Wiesbadener Strasse 56; Berlin (14197);Wiesbadener Strasse 56,  Berlin (14197);0.7
722;Alt-Hohenschönhausen; Berlin (13053);Alt-Hohenschönhausen,  Berlin (13053);
723;Tempelhof; Berlin (12101);Tempelhof,  Berlin (12101);0.75
724;Lankwitz; Berlin (12247);Lankwitz,  Berlin (12247);0.38
725;Köpenick; Berlin (12557);Köpenick,  Berlin (12557);0.34
726;Bogenstrasse 21; Berlin (12207);Bogenstrasse 21,  Berlin (12207);2.58
727;Bogenstrasse 21; Berlin (12207);Bogenstrasse 21,  Berlin (12207);2.58
728;Frohnau; Berlin (13465);Frohnau,  Berlin (13465);1.23
729;Blankenburg; Berlin / Pankow (13129);Blankenburg,  Berlin / Pankow (13129);1.11
730;Rahnsdorf; Berlin / Hessenwinkel (12589);Rahnsdorf,  Berlin / Hessenwinkel (12589);2.8
731;Konradshöhe; Berlin (13505);Konradshöhe,  Berlin (13505);1.51
732;Lichtenberg; Berlin (10365);Lichtenberg,  Berlin (10365);1.6
733;Lichterfelde; Berlin (12203);Lichterfelde,  Berlin (12203);
734;Birkenstrasse 12A; Berlin (10559);Birkenstrasse 12A,  Berlin (10559);0.09
735;Hermsdorf; Berlin (13465);Hermsdorf,  Berlin (13465);0.49
736;Lichtenrade; Berlin (12309);Lichtenrade,  Berlin (12309);0.82
737;Westend; Berlin (14052);Westend,  Berlin (14052);0.43
738;Boddinstrasse 20; Berlin (12053);Boddinstrasse 20,  Berlin (12053);0.39
739;Konradshöhe; Berlin (13505);Konradshöhe,  Berlin (13505);1.51
740;Max-Beer-Strasse 7; Berlin (10119);Max-Beer-Strasse 7,  Berlin (10119);0.58
741;Max-Beer-Strasse 7; Berlin (10119);Max-Beer-Strasse 7,  Berlin (10119);0.58
742;Max-Beer-Strasse 7; Berlin (10119);Max-Beer-Strasse 7,  Berlin (10119);0.58
743;Wannsee; Berlin (14109);Wannsee,  Berlin (14109);2.45
744;Lichterfelde; Berlin (12207);Lichterfelde,  Berlin (12207);
745;Lichterfelde; Berlin (12209);Lichterfelde,  Berlin (12209);
