ad_id;Street;City_Code;;;;;;
86;Karlsfeld;Karlsfeld (85757);Karlsfeld, Karlsfeld (85757);200;;;;
87;Karlsfeld;Karlsfeld (85757);Karlsfeld, Karlsfeld (85757);200;;;;
88;Schönbrunn; Hebertshausen (85241);Schönbrunn,  Hebertshausen (85241);0;;;;
89;Karlsfeld;Karlsfeld (85757);Karlsfeld, Karlsfeld (85757);200;;;;
90;Alte Bayernwerkstrasse 189; Karlsfeld (85757);Alte Bayernwerkstrasse 189,  Karlsfeld (85757);85;;;;
91;Karlsfeld;Karlsfeld (85757);Karlsfeld, Karlsfeld (85757);200;;;;
92;Karlsfeld;Karlsfeld (85757);Karlsfeld, Karlsfeld (85757);200;;;;
93;Rathausstrasse 4; Karlsfeld (85757);Rathausstrasse 4,  Karlsfeld (85757);462;;;;
94;Schönbrunn; Hebertshausen (85241);Schönbrunn,  Hebertshausen (85241);0;;;;
95;Karlsfeld;Karlsfeld (85757);Karlsfeld, Karlsfeld (85757);200;;;;
96;Karlsfeld;Karlsfeld (85757);Karlsfeld, Karlsfeld (85757);200;;;;
97;Karlsfeld;Karlsfeld (85757);Karlsfeld, Karlsfeld (85757);200;;;;
98;Augenbroicher Strasse 63; Euskirchen (53879);Augenbroicher Strasse 63,  Euskirchen (53879);840;;;;
99;Dom-Esch; Euskirchen-Dom-Esch (53881);Dom-Esch,  Euskirchen-Dom-Esch (53881);90;;;;
100;Euskirchen; Euskirchen-Innenstadt (53879);Euskirchen,  Euskirchen-Innenstadt (53879);0;;;;
101;Keltenring 76; Euskirchen (53879);Keltenring 76,  Euskirchen (53879);650;;;;
102;Frauenberg; Euskirchen (53881);Frauenberg,  Euskirchen (53881);35;;;;
103;Euskirchen; Euskirchen (53879);Euskirchen,  Euskirchen (53879);963;;;;
104;Euskirchen; Euskirchen-Innenstadt (53879);Euskirchen,  Euskirchen-Innenstadt (53879);0;;;;
105;Euskirchen; Euskirchen-Innenstadt (53879);Euskirchen,  Euskirchen-Innenstadt (53879);0;;;;
106;Roitzheim; Euskirchen (53881);Roitzheim,  Euskirchen (53881);140;;;;
107;Am Fuchspfad 8; Euskirchen (53879);Am Fuchspfad 8,  Euskirchen (53879);772;;;;
108;Peter-Simons-Strasse 21; Euskirchen (53879);Peter-Simons-Strasse 21,  Euskirchen (53879);315;;;;
109;Wisskirchen; Euskirchen (53881);Wisskirchen,  Euskirchen (53881);85;;;;
110;Kleinbullesheim; Euskirchen-Kleinbullesheim (53881);Kleinbullesheim,  Euskirchen-Kleinbullesheim (53881);80;;;;
111;Euskirchen; Euskirchen-Innenstadt (53879);Euskirchen,  Euskirchen-Innenstadt (53879);0;;;;
112;Euskirchen; Euskirchen (53879);Euskirchen,  Euskirchen (53879);963;;;;
113;Saarstrasse 7; Euskirchen (53879);Saarstrasse 7,  Euskirchen (53879);245;;;;
114;Keltenring 76; Euskirchen (53879);Keltenring 76,  Euskirchen (53879);650;;;;
115;Pappelallee 57; Euskirchen (53879);Pappelallee 57,  Euskirchen (53879);425;;;;
116;Julicher Ring; Euskirchen (53879);Julicher Ring,  Euskirchen (53879);590;;;;
117;Euskirchen; Euskirchen (53879);Euskirchen,  Euskirchen (53879);963;;;;
118;Stiefelhagenstrasse 1; Euskirchen (53881);Stiefelhagenstrasse 1,  Euskirchen (53881);222;;;;
119;Stiefelhagenstrasse 1; Euskirchen (53881);Stiefelhagenstrasse 1,  Euskirchen (53881);222;;;;
120;Euskirchen; Euskirchen (53879);Euskirchen,  Euskirchen (53879);963;;;;
121;Stotzheim; Euskirchen (53881);Stotzheim,  Euskirchen (53881);257;;;;
122;Stotzheim; Euskirchen (53881);Stotzheim,  Euskirchen (53881);257;;;;
123;Euskirchen; Euskirchen (53879);Euskirchen,  Euskirchen (53879);963;;;;
124;Henri-Dunant Str. 18; Euskirchen (53879);Henri-Dunant Str. 18,  Euskirchen (53879);225;;;;
125;Adolf-Halstrick-Strasse 1; Euskirchen (53881);Adolf-Halstrick-Strasse 1,  Euskirchen (53881);195;;;;
126;Euskirchen; Euskirchen (53879);Euskirchen,  Euskirchen (53879);963;;;;
127;Euskirchen; Euskirchen (53879);Euskirchen,  Euskirchen (53879);963;;;;
128;Euskirchen; Euskirchen (53879);Euskirchen,  Euskirchen (53879);963;;;;
129;Frauenberg; Euskirchen (53881);Frauenberg,  Euskirchen (53881);35;;;;
130;Roitzheim; Euskirchen / Roitzheim (53881);Roitzheim,  Euskirchen / Roitzheim (53881);180;;;;
131;Roitzheim; Euskirchen / Roitzheim (53881);Roitzheim,  Euskirchen / Roitzheim (53881);180;;;;
132;Antweiler Str. 40; Euskirchen (53881);Antweiler Str. 40,  Euskirchen (53881);80;;;;
133;Euskirchen; Euskirchen (53879);Euskirchen,  Euskirchen (53879);963;;;;
134;Am Hang 14; Euskirchen (53881);Am Hang 14,  Euskirchen (53881);90;;;;
135;An der Vogelrute 60; Euskirchen (53879);An der Vogelrute 60,  Euskirchen (53879);324;;;;
136;Euskirchen; Euskirchen (53879);Euskirchen,  Euskirchen (53879);963;;;;
137;Dom-Esch; Euskirchen (53881);Dom-Esch,  Euskirchen (53881);110;;;;
138;Grossbullesheim; Euskirchen (53881);Grossbullesheim,  Euskirchen (53881);180;;;;
